Section,Sub-section,Entry,Price,Blurb
Lobster House Lunch Menu,Entrées,Jumbo Shrimp Scampi,22.95,succulently sautéed in butter
Lobster House Lunch Menu,Entrées,Large Tender Scallops,26.95,served broiled or fried
Lobster House Lunch Menu,Entrées,King Crab Legs,43.95,served broiled or steamed
Lobster House Lunch Menu,Entrées,Snow Crab Legs,26.95,served broiled or steamed
Lobster House Lunch Menu,Entrées,Lobster - Broiled or Steamed,24.95,
Lobster House Lunch Menu,Entrées,Baked Filet of Sole,20.95,
Lobster House Lunch Menu,Entrées,Broiled Tilapia,20.95,served steamed or broiled
Lobster House Lunch Menu,Entrées,Broiled Salmon,20.95,served steamed or broiled
Lobster House Lunch Menu,Entrées,Mahi Mahi,20.95,served steamed or broiled
Lobster House Lunch Menu,Entrées,Blue Fish,17.95,served steamed or broiled
Lobster House Lunch Menu,Entrées,Shrimp Parmigiana,23.95,Large shrimp smothered in marinara sauce & cheese
Lobster House Lunch Menu,Entrées,Fried Calamari w/ Marinara Sauce,20.95, 
Lobster House Lunch Menu,Entrées,BBQ Combination Plate,20.95,Chicken & Ribs served for one
Lobster House Lunch Menu,Entrées,BBQ Ribs,20.95,
Lobster House Lunch Menu,Entrées,Prime Rib of Beef,23.95,
Lobster House Lunch Menu,Entrées,House Chicken Fingers,18.95,Served w/ choice of BBQ or Honey Mustard Sauce
Lobster House Lunch Menu,Entrées,Chicken Parmigiana,18.95,Tender chicken smothered in marinara sauce & cheese
Lobster House Lunch Menu,Entrées,Linguine in Red or White Clam Sauce,19.95,
Lobster House Lunch Menu,Entrées,Maryland Crab Cakes,21.95,
Lobster House Lunch Menu,House Sandwiches,Lobster Roll,20.95,
Lobster House Lunch Menu,House Sandwiches,Grilled Chicken Sandwich,12.95,
Lobster House Lunch Menu,House Sandwiches,Fried Fish Sandwich,12.95,
Lobster House Lunch Menu,Lobster House Burgers,Cheeseburger Deluxe 8 oz.,10.95,
Lobster House Lunch Menu,Lobster House Burgers,House Burger Deluxe 8 oz.,9.95,
Lobster House Lunch Menu,Salads,Cold Seafood Salad Combo,22.95,
Lobster House Lunch Menu,Salads,Grilled Salmon Salad,21.95,
Beverages,,Coffee,2.50,
Beverages,,Tea,1.75,
Beverages,,Hot Chocolate,2.75,
Beverages,,Coke & Diet Coke,2.95,
Beverages,,Orange,2.95,
Beverages,,Sprite,2.95,
Beverages,,Lemonade,2.95,
Beverages,,Espresso,2.95,
Beverages,,Cappuccino,3.75,
Beverages,,Cappuccino,4.50,
Kid's Menu,,Kid's Burger,10.95,
Kid's Menu,,Kid's Cheeseburger,11.95,
Kid's Menu,,Chicken Fingers,12.95,
Kid's Menu,,Linguine,10.95,with tomato sauce
Kid's Menu,,Kid's Fried Shrimp,15.95,
Kid's Menu,,Kid's Chicken Sandwich,12.95,
Kid's Menu,,Kid's Fish Sandwich,13.95,
Kid's Menu,,Kid's BBQ Ribs,14.95,
Lobster House by Land or Sea,Our Drink Specialties,Piña Colada,10.95,The Caribbean's Original Colada
Lobster House by Land or Sea,Our Drink Specialties,Creamy Piña Colada,10.95,Our famous Colada with ice cream
Lobster House by Land or Sea,Our Drink Specialties,Banana Colada,10.95,Original Colada w/ Bananas
Lobster House by Land or Sea,Our Drink Specialties,Strawberry Colada,10.95,Original Colada w/ Strawberries
Lobster House by Land or Sea,Our Drink Specialties,Hennessy Colada,13.95,Original Colada w/ Hennessy
Lobster House by Land or Sea,Our Drink Specialties,Strawberry Dream,10.95,"Ice Cream, Strawberries & Rum"
Lobster House by Land or Sea,Our Drink Specialties,Frozen Margarita • Midori Margarita • Strawberry Margarita,10.95,The very best Margaritas North of Mexico! your choice...
Lobster House by Land or Sea,Our Drink Specialties,The Ultimate Margarita,12.95,Reposado Trquila & Gran Marnier
Lobster House by Land or Sea,Our Drink Specialties,Frozen Daiquiri,10.95,Banana or Strawberry
Lobster House by Land or Sea,Our Drink Specialties,Trouble in Paradise,10.95,"Dark Rum, Banana Liqueur, Pineapple & Coconut Cream"
Lobster House by Land or Sea,Our Drink Specialties,Frozen Mudslide,10.95,"Ice Cream, Kahlua, Bailey's Irish Cream & Vodka"
Lobster House by Land or Sea,Our Drink Specialties,Bahama Breeze,10.95,"Meyers Rum, Amaretto, Pineapple & Coconut Cream"
Lobster House by Land or Sea,Our Drink Specialties,Frankenstein Monster,13.95,A blend of 5 rums and then some.... Monstrous
Lobster House by Land or Sea,Our Drink Specialties,Tropical Punch,10.95,A smooth blend of tropical juices with White & Dark Rum
Lobster House by Land or Sea,Our Drink Specialties,Sex on the Beach,9.95,"Vodka, Peach Schnapps, Orange Juice & Cranberry Juice"
Lobster House by Land or Sea,Our Drink Specialties,City Island Iced Tea,13.95,a blend of 5 light liqueurs with a splash of coke and lemon... watch out!
Lobster House by Land or Sea,Our Drink Specialties,Long Passion Iced Tea,13.95,"White Rum, Vodka, Tequila, Gin, Triple Sec, Passion Fruit Syrup"
Lobster House by Land or Sea,Our Drink Specialties,Pomegranate Margarita,11.95,"Tequila, Triple Sec, Lime Juice & Sour Mix"
Lobster House by Land or Sea,Our Drink Specialties,Johnny Rockets,9.95,"Amaretto, Malibu Rum and Pineapple Juice"
Lobster House by Land or Sea,Our Drink Specialties,Purple Passion,9.95,Alize Red & Alize Blue w/ Sprite on the rocks
Tropical Bar & Martinis,,City Island Mojito,12.95,"Lime infused Rum, Triple Sec, fresh lime juice & mint leaves"
Tropical Bar & Martinis,,Peach Martini,12.95,"Absolut Peach, Peach Schnapps, 7-up with a splash of Cranberry Juice"
Tropical Bar & Martinis,,Chocolate Martini,12.95,"Vodka, Dark Creme de Cocoa & Baileys"
Tropical Bar & Martinis,,Cosmopolitan,12.95,"Vodka, Triple Sec, Lime Juice & Cranberry Juice"
Tropical Bar & Martinis,,Apple Martini,12.95,"Apple Pucker, Vodka, and a splash of sour mix"
Tropical Bar & Martinis,,Strawberry Martini,12.95,"Vodka, Peach Schnapps, Strawberry Puree and a dash of Sour Mix"
Tropical Bar & Martinis,,Mai Tai,12.95,A blend of tropical Fruit Juices with Bacardi Rum & Amaretto
Tropical Bar & Martinis,,Malibu Bay Breeze,12.95,"Refreshing mix of Malibu Rum, Pineapple Juice & a splash of Cranberry Juice"
Tropical Bar & Martinis,,Jolly Rancher,12.95,"A light mix of Vodka, Midori, 7-Up & Cranberry Juice"
Tropical Bar & Martinis,,Manhattan,12.95,Canadian Whiskey & Martini Rossi
Tropical Bar & Martinis,,Orange Mandarin,12.95,"Absolut Mandarin, splash of Grand Marnier, 1 orange slice"
Tropical Bar & Martinis,,Berry Tini,12.95,"Stoli Razz, Stoli Blueberi, Splash of Cranberry, Strawberry Puree & Sour Mix"
Tropical Bar & Martinis,,Blue Ocean,12.95,"A frozen mix of Alize Blue, Malibu Rum, Pineapple Juice & Coconut"
Tropical Bar & Martinis,,Bikini Martini,12.95,"Coconut Rum, Vodka, Pineapple juice & dash of Blue Curaçao"
Tropical Bar & Martinis,,French Martini,12.95,"Absolut Vodka, Chambord Liqueur & Pineapple Juice"
